data;linha;origem;destino;total transportados;Geo LocalizaÁ„o Origem;Geo LocalizaÁ„o Destino
28/jul/20;202810;VILA AYROSA;METRO TUCURUVI;1242;;
28/jul/20;172021;VILA SABRINA;METRO TUCURUVI;2241;;
28/jul/20;701A10;PQ EDU CHAVES;METRO V MADALENA;5650;;
28/jul/20;N83911;METRO BUTANTA;METRO V MARIANA;1;;
28/jul/20;470910;PQ BRISTOL;METRO V MARIANA;2092;;
28/jul/20;775N10;RIO PEQUENO;METRO V MARIANA;3;;
28/jul/20;373110;SHOP ARICANDUVA;METRO V MATILD;103;;
28/jul/20;271410;VL RUI BARBOSA;METRO V MATILDE;7;;
28/jul/20;407Y10;PQ SAVOY CITY;METRO V PRUDENTE;1821;;
28/jul/20;695T10;TERM.CAPELINHA;METRO V.MARIANA;9175;;
28/jul/20;570510;TERM SACOMA;METRO VERGUEIRO;1403;;
28/jul/20;736I21;JD INGA;METRO VILA DAS BELEZAS;295;;
28/jul/20;772510;RIO PEQUENO;METRO VILA MADALEN;610;;
28/jul/20;804741;JARAGUA;METRO VILA MADALENA;1230;;
28/jul/20;775A10;JD ADALGIZA;METRO VILA MARIANA;1364;;
28/jul/20;470810;JD CLIMAX;METRO VILA MARIANA;1799;;
28/jul/20;875H10;LAPA;METRO VILA MARIANA;3925;;
28/jul/20;277010;GUAIANAZES;METRO VILA MATILDE;1973;;
28/jul/20;N50611;TERM SACOMA;METRO VL MADALENA;7;;
28/jul/20;274P10;PENHA;METRO VL MARIANA;1516;;
28/jul/20;707A23;PIRAPORINHA;MOEMA;349;;
28/jul/20;539122;TERM JD ANGELA;MOEMA;204;;
28/jul/20;510310;TERM. SACOMA;MOEMA;4176;;
28/jul/20;172U10;CEM P PINHEIROS;MOOCA;8237;;
28/jul/20;N13611;TERM LAPA;MORRO DOCE;69;;
28/jul/20;N14311;METRO BARRA FUNDA;MORRO GRANDE;29;;
28/jul/20;N63311;MET JABAQUARA;MORUMBI SHOPING;7;;
28/jul/20;307C10;CONJ ENCOSTA NORTE;MT ARTUR AL;3810;;
28/jul/20;273X10;JD OLIVEIRAS;MT ARTUR ALVIN;8780;;
28/jul/20;470610;J MARIA ESTELA II;MT V MARIANA;1748;;
28/jul/20;273N41;ITAIM PAULISTA;MT VLA MATILDE;152;;
28/jul/20;273N10;CID KEMEL II;MTR V MATILDE;4443;;
28/jul/20;519M10;SAO MATEUS;MUSEU DO IPIRANGA;1509;;
28/jul/20;502810;CJ HAB HELIOP;MUSEU IPIRANGA;1376;;
28/jul/20;174M10;JD BRASIL;MUSEU IPIRANGA;3999;;
28/jul/20;371810;METRO A ALVIN;NOVA AMERICA;1502;;
28/jul/20;N33111;TERM A E CARVALHO;OLIVEIRINHA;35;;
28/jul/20;420810;SHOP C L ARICANDUVA;P J MENDES;130;;
28/jul/20;870021;LGO DO TABOAO;P RAMOS DE AZEVE;116;;
28/jul/20;727210;VILA POMPEIA;P.RAMOS AZEV.CIRC;1573;;
28/jul/20;728110;LAPA;P.RAMOS AZEVEDO CIRCULAR;1668;;
28/jul/20;411510;SHOP PLAZA SUL;PÄ REPUBLICA;1328;;
28/jul/20;243510;JD COIMBRA;PÄA DA SE;963;-23.529357, -46.479910;-23.550280, -46.634212
28/jul/20;208V10;TERM A E CARVALHO;PÄA DA SE;6942;;
28/jul/20;117832;ABEL TAVARES;PÄA DO CORREIO;531;;
28/jul/20;916610;JD SANTA CRUZ;PÄA DO CORREIO;358;;
28/jul/20;117831;SAO MIGUEL;PÄA DO CORREIO;6261;-23.491693, -46.434792;
28/jul/20;428610;VILA INDUSTRIAL;PÄA DO CORREIO;514;;
28/jul/20;422210;PQ STA MADALENA;PÄA J MENDES;1700;;
28/jul/20;726710;APIACAS;PÄA RAMOS AZEVEDO;1108;;
28/jul/20;411110;VILA MONUMENTO;PÄA REPUBLICA;979;;
28/jul/20;950110;TERM  CACHOEIRINHA;PAISSANDU;14042;;
28/jul/20;950010;TERM CACHOEIRINHA;PAISSANDU;5074;;
28/jul/20;930110;TERM CASA VERDE;PAISSANDU;2245;;
28/jul/20;853810;VILA IARA;PAISSANDU;490;;
28/jul/20;602010;CHAC BOSQUE DO SOL;PARELHEIROS;168;;
28/jul/20;602051;ESTRADA DO JUSA;PARELHEIROS;50;;
28/jul/20;N83211;TERM LAPA;PARQUE CONTINENTAL;48;;
28/jul/20;702U10;BUTANTA USP;PARQUE D. PEDRO II;3453;;
28/jul/20;861510;P.LAPA;PARQUE D. PEDRO II;5999;;
28/jul/20;N83111;TERM LAPA;PARQUE DA LAPA;2;;
28/jul/20;N73711;TERM JD ANGELA;PARQUE DO LAGO;37;;
28/jul/20;431021;ARTUR ALVIM;PARQUE DOM PEDRO;920;;
28/jul/20;202610;JAÄANA;PARQUE NOVO MUNDO;766;;
28/jul/20;809V10;VILA GOMES;PAULISTA;947;;
28/jul/20;115610;VILA SABRINA;PC DO CORREIO;4211;;
28/jul/20;854410;CID DABRIL 3 GLEBA;PC RAMOS AZ;1719;;
28/jul/20;754510;JD JOAO XXIII;PC RAMOS DE AZEV;24;;
28/jul/20;313910;JD VILA FORMOSA;PCA CLOVIS;649;;
28/jul/20;271C10;PQ VILA MARIA;PCA DA REPUBLICA;1783;;
28/jul/20;517510;BALNEARIO S FRANCISCO;PCA DA S;9531;;
28/jul/20;510010;EST.FEP.PINHEIROS;PCA DA SE;811;;
28/jul/20;217510;JD GUANCA;PCA DA SE;1406;;
28/jul/20;647510;JD.VAZ DE LIMA;PCA DA SE;3555;;
28/jul/20;210110;PCA SILVIO ROMERO;PCA DA SE;125;;
28/jul/20;539110;TERM JD ANGELA;PCA DA SE;8797;;
28/jul/20;741110;USP;PCA DA SE;345;;
28/jul/20;210010;TERM V CARRAO;PCA DA SE CIRC;7013;;
28/jul/20;129F41;CON PETRON PORT;PCA DO CORREIO;201;;
28/jul/20;218210;JD BRASIL;PCA DO CORREIO;5735;;
28/jul/20;854810;JD DOS CUNHAS;PCA DO CORREIO;2337;;
28/jul/20;852810;JD GUARANI;PCA DO CORREIO;5704;;
28/jul/20;821510;JD PAULISTANO;PCA DO CORREIO;2829;;
28/jul/20;216110;PQ EDU CHAVES;PCA DO CORREIO;2669;;
28/jul/20;117810;SAO MIGUEL;PCA DO CORREIO;7156;-23.492982, -46.437534;
28/jul/20;854910;TAIPAS;PCA DO CORREIO;5178;;
28/jul/20;514110;TERM. SAPOPEMBA;PCA DO CORREIO;1926;;
28/jul/20;529010;DIV DIADEMA;PCA JOAO MENDES;7568;;
28/jul/20;561110;ELDORADO;PCA JOAO MENDES;2891;;
28/jul/20;978J10;VOITH;PCA PRINC ISABEL;2281;;
28/jul/20;609F10;CHAC.SANTANA ;PCA PRINC.ISABEL;7275;;
28/jul/20;870010;T CAMPO LIMPO;PCA R D AZEVEDO;11803;;
28/jul/20;800010;TERM LAPA;PCA RAMOS;2478;;
28/jul/20;840010;TERM PIRITUBA;PCA RAMOS;9317;;
28/jul/20;859441;COHAB PEDRA VERDE;PCA RAMOS AZ;176;;
28/jul/20;831910;PQ CONTINENTAL;PCA RAMOS AZEVE;1738;;
28/jul/20;859410;CID DABRIL;PCA RAMOS AZEVEDO;6574;;
28/jul/20;859421;CID PIRITUBA;PCA RAMOS AZEVEDO;51;;
28/jul/20;868610;MANGALOT;PCA RAMOS AZEVEDO;2037;;
28/jul/20;623210;VILA IDA;PCA RAMOS AZEVEDO;571;;
28/jul/20;870024;LGO DO TABOAO;PCA RAMOS DE AZE;40;;
